No.,Accounts,Sap,Name,RM,Status,Facility,Principal (MYR),Overdue Date,Overdue (Days),Overdue (Amount),RU Date,1st Disbursement,1st Repayment,Approved Date,LO Issuance,LO Acceptance,FA Date,AP Date,Maturity Date,Annual Review,Watchlist Review,Approval R&R,Effective R&R,Classified Watchlist,Declassified Watchlist,Impaired Date,Partial Write off Date,Write off Date,Cancellation/Settled Date
1,330801137110039800,501213,JFC FOOD INDUSTRIES SDN BHD,"",Active-Watchlist-Overdue,Supplier Financing - i (Revolving) (Pre& Post),2146338.85,2025-05-30 00:00:00,63,2146338.85,2025-02-14 00:00:00,2025-02-18 00:00:00,1900-01-01 00:00:00,2024-09-03 00:00:00,2024-09-19 00:00:00,2024-09-30 00:00:00,1900-01-01 00:00:00,2025-09-03 00:00:00,2025-09-03 00:00:00,1900-01-01 00:00:00,2025-06-25 00:00:00,,,2025-05-26 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
1,330801137110034500,501142,CHOON ENG (SARAWAK)SDN.BHD.,Haziq Fikri,Active-Watchlist,Supplier Financing - i (Revolving) (Pre& Post),3533376.9,1900-01-01 00:00:00,0,0,2024-07-18 00:00:00,2024-07-25 00:00:00,1900-01-01 00:00:00,2024-02-13 00:00:00,2024-03-01 00:00:00,2024-03-14 00:00:00,2024-03-14 00:00:00,2026-02-13 00:00:00,2026-02-13 00:00:00,1900-01-01 00:00:00,2025-07-06 00:00:00,,,2025-06-06 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
1,330801137110035800,501160,KYOTO ENERGY VENTURES SDN BHD,Muhammad Syahiran Bin Sadzmer,Active,Supplier Financing - i (Revolving) (Pre& Post),4925934.45,1900-01-01 00:00:00,0,0,2024-09-12 00:00:00,2024-09-13 00:00:00,1900-01-01 00:00:00,2024-06-11 00:00:00,2024-06-13 00:00:00,2024-06-24 00:00:00,2024-06-13 00:00:00,2025-06-11 00:00:00,2025-06-11 00:00:00,2025-05-30 00:00:00,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
1,330801137110039600,501196,SARAGREEN SDN BHD,"",Active-Watchlist,Supplier Financing - i (Revolving) (Pre& Post),6287037.53,1900-01-01 00:00:00,0,0,2025-02-10 00:00:00,2025-02-10 00:00:00,1900-01-01 00:00:00,2024-11-26 00:00:00,2024-06-11 00:00:00,2024-06-22 00:00:00,1900-01-01 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,1900-01-01 00:00:00,2025-07-30 00:00:00,,,2025-06-30 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
1,330801137110040000,501211,MASTER SUPPLIERS SDN BHD,"",Active,Supplier Financing - i (Revolving) (Pre& Post),371795.82,1900-01-01 00:00:00,0,0,2025-01-16 00:00:00,2025-02-25 00:00:00,1900-01-01 00:00:00,2024-08-22 00:00:00,2024-08-26 00:00:00,2024-09-05 00:00:00,1900-01-01 00:00:00,2025-08-22 00:00:00,2025-08-22 00:00:00,1900-01-01 00:00:00,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
1,330801137110040100,501218,PUSAN FURNITURE INDUSTRIES SDN BHD,"",Active,Supplier Financing - i (Revolving) (Pre& Post),4996368.06,1900-01-01 00:00:00,0,0,2025-02-21 00:00:00,2025-02-25 00:00:00,1900-01-01 00:00:00,2024-12-18 00:00:00,2024-12-24 00:00:00,2024-12-31 00:00:00,1900-01-01 00:00:00,2025-12-18 00:00:00,2025-12-18 00:00:00,1900-01-01 00:00:00,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
1,330801137110040200,501224,PTS GOLDKIST INDUSTRIES SDN BHD,"",Active,Supplier Financing - i (Revolving) (Pre& Post),6075113.78,1900-01-01 00:00:00,0,0,2025-03-06 00:00:00,2025-03-11 00:00:00,1900-01-01 00:00:00,2024-09-18 00:00:00,2024-09-26 00:00:00,2024-10-28 00:00:00,1900-01-01 00:00:00,2025-09-18 00:00:00,2025-09-18 00:00:00,1900-01-01 00:00:00,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
1,330801137110040500,501123,WELL-BUILT ALLOY INDUSTRIES SDN BHD,"",Active,Supplier Financing - i (Revolving) (Pre& Post),4539063.42,1900-01-01 00:00:00,0,0,2025-03-27 00:00:00,2025-03-28 00:00:00,1900-01-01 00:00:00,2023-06-23 00:00:00,2023-07-18 00:00:00,2023-08-02 00:00:00,1900-01-01 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,1900-01-01 00:00:00,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
1,330801137110040900,501231,A-T PRECISION ENGINEERING SDN. BHD.,"",Active,Supplier Financing - i (Revolving) (Pre& Post),2495769.88,1900-01-01 00:00:00,0,0,1900-01-01 00:00:00,2025-04-25 00:00:00,1900-01-01 00:00:00,2025-01-02 00:00:00,2025-01-22 00:00:00,2025-01-27 00:00:00,1900-01-01 00:00:00,2026-01-02 00:00:00,2026-01-02 00:00:00,1900-01-01 00:00:00,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
1,330801137110042900,501255,N.K RUBBER (M) SDN. BHD.,"",Active,Supplier Financing - i (Revolving) (Pre& Post),1101986.56,1900-01-01 00:00:00,0,0,2025-06-20 00:00:00,2025-06-20 00:00:00,1900-01-01 00:00:00,2024-12-17 00:00:00,2024-12-23 00:00:00,2025-01-06 00:00:00,1900-01-01 00:00:00,2025-12-17 00:00:00,2025-12-17 00:00:00,1900-01-01 00:00:00,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,1900-01-01 00:00:00,1900-01-01 00:00:00
